geom,value,id
POINT(-1.2934340424 51.7857949529),1200000,921
POINT(-1.3483137437 52.0566903712),323000,3934
POINT(-1.1560340236 51.9135100635),599000,5489
POINT(-1.0225994026 51.5111211042),1180000,6398
POINT(-1.4982264576 51.7868195023),585000,7619
POINT(-1.2776107752 51.793467414),1026500,21065
POINT(-1.2957978345 51.6029670548),586500,25628
POINT(-1.2750521614 51.8164964793),367000,26057
POINT(-1.307995455 51.5699142526),725000,28771
POINT(-1.2607266238 51.5975275752),540000,30757
POINT(-1.1368781194 51.5176456012),2060000,32792
POINT(-1.5078914403 51.7232916578),382500,34134
POINT(-1.3684077935 52.0611154642),490000,36599
POINT(-1.0062158388 51.6553371579),4000000,37239
POINT(-1.3615744185 52.0462346595),495950,41258
POINT(-1.4527647028 51.9147599643),670000,41950
POINT(-1.5544912138 51.7942487088),540000,49288
POINT(-1.3089848027 51.6493340017),750000,49649
POINT(-1.1553168159 51.8990379935),580000,50228
POINT(-1.1647864057 51.9244788917),580000,51189
POINT(-1.5410081917 51.9268972661),540000,59892
POINT(-1.6548441096 51.6041204064),540000,61143
POINT(-1.6549459322 51.7373117884),925000,66790
POINT(-1.5553042412 51.7941438909),825000,72927
POINT(-1.3007994135 51.6120065127),532000,74595
POINT(-1.4079748262 51.588506353),1800000,82504
POINT(-1.1796229455 51.8947592653),595000,83053
POINT(-0.9858339269 51.5178499009),820000,85281
POINT(-1.3627623689 52.0919060215),845000,88223
POINT(-1.1152428904 51.6270848668),610000,88916
POINT(-1.2826140244 51.6873362766),467500,92490
POINT(-1.4242609554 51.5859077683),815000,99611
POINT(-1.2935915819 51.7450469332),1380000,102648
POINT(-1.499312007 51.7922189307),630000,104341
POINT(-1.2989659479 51.658877704),411000,107497
POINT(-1.2714709625 51.7830535289),1100000,115171
POINT(-1.4101011041 51.6839897232),428000,116500
POINT(-1.5993707575 51.6514381311),605000,120049
POINT(-1.4797574161 51.9945966539),510000,126700
POINT(-1.4520041738 51.5941689639),585000,126850
POINT(-1.2304737995 51.6124033894),317000,128426
POINT(-1.4269231587 51.5853992752),685000,129702
POINT(-1.2696042228 51.6057295076),580000,129843
POINT(-1.1149727005 51.6261207299),610000,132655
POINT(-1.292150381 51.6016773315),780000,132794
POINT(-1.5334681345 51.9472233331),520000,133422
POINT(-1.2636449141 51.6027700362),497000,134311
POINT(-1.2625028563 51.6759545013),417000,140767
POINT(-1.2275351717 51.6102531025),367500,142764
POINT(-1.1292963333 51.5290451597),680000,149186
POINT(-0.9903457086 51.4845649022),1085000,150100
POINT(-0.9850044309 51.524694518),1580000,153016
POINT(-1.3590448953 52.0477403855),515000,156441
POINT(-1.2738650261 51.607482302),99200,162875
POINT(-1.3410125471 52.0592661),140000,167078
POINT(-1.5362952823 51.9425411851),285450,168060
POINT(-0.9855892471 51.4568014744),195000,175245
POINT(-0.9509445628 51.4706767483),277000,177960
POINT(-1.1409491569 51.8872632641),160000,185929
POINT(-1.1423847495 51.8851248241),257500,187082
POINT(-1.2265132081 51.6024056957),158000,188348
POINT(-1.481183628 51.7824655044),125000,189147
POINT(-0.9795048191 51.4559842755),187000,202572
POINT(-1.2462180392 51.6114084265),195000,207793
POINT(-1.5362952823 51.9425411851),265000,210384
POINT(-1.2623101998 51.6022671252),224000,212165
POINT(-1.2249599512 51.7156714746),87500,220632
POINT(-1.3315507733 52.0530990303),90000,233659
POINT(-1.1255246356 51.745229737),170000,250056
POINT(-0.9675058409 51.7461152568),190000,273412
POINT(-1.3424999731 52.0582944062),169950,274376
POINT(-1.5851688863 51.7709925709),190000,283769
POINT(-0.9849948563 51.4569941557),115000,283786
POINT(-1.464409478 51.7924244849),80000,284448
POINT(-1.2523668795 51.9292935384),31500000,292066
POINT(-1.3540950108 51.8474280009),30000,294387
POINT(-1.6448136546 51.614601752),570000,300833
POINT(-1.2588863404 51.929056028),132899,302268
POINT(-0.9086214935 51.698718311),228000,306912
POINT(-1.1216007493 51.5326655044),3500000,312494
POINT(-0.9045285204 51.5385467344),850000,314922
POINT(-1.3115461719 51.7121008866),900000,316564
POINT(-1.3115461719 51.7121008866),900000,316575
POINT(-1.1489581174 51.8832664008),683474,317381
POINT(-1.4817068335 51.7899396003),625000,319702
POINT(-1.6027142382 51.8591129783),1203000,326456
POINT(-1.3014106901 51.5627179102),725000,326498
POINT(-1.5474249269 51.7251501525),338500,326726
POINT(-1.3517932031 51.8277694152),860000,327190
POINT(-1.4823597589 51.8760342282),298000,349623
POINT(-1.3955139955 52.0553507472),675000,350051
POINT(-1.3354159326 52.0412619435),372500,359690
POINT(-1.1459549388 51.5709882583),367500,361691
POINT(-1.2066782493 51.7602906552),617500,369678
POINT(-1.2455370981 51.7143216797),577000,379477
POINT(-1.4844257598 51.7676441121),262500,390957
POINT(-1.2518410282 51.7340170274),530000,395324
POINT(-1.334981554 52.0420416977),215435,419005
POINT(-1.6555544066 51.603753831),326000,421185
POINT(-0.9122518884 51.6957667461),367000,435976
POINT(-1.368420831 51.9907707417),306000,452894
POINT(-0.9047639905 51.5305371363),1250000,461734
POINT(-1.3483137437 52.0566903712),175000,479764
POINT(-1.2261739557 51.7174777515),510000,485687
POINT(-1.2314617527 51.7163795194),318000,488339
POINT(-1.2151669448 51.7336521056),428000,491210
POINT(-1.1491874484 51.5756064723),327000,514982
POINT(-1.3683644427 52.0673010634),255000,538972
POINT(-1.2833487453 51.8193435818),337000,540550
POINT(-1.2636449141 51.6027700362),309000,546844
POINT(-1.3886613011 51.8237586424),540000,561785
POINT(-1.2829356386 51.8152050628),367500,579663
POINT(-1.450415357 51.922616214),835000,584799
POINT(-1.1601879634 51.898137769),255000,585185
POINT(-0.9672558872 51.7431008518),820000,595926
POINT(-0.9690887704 51.4653887117),810000,607739
POINT(-1.3482343498 52.0671643063),179525,610046
POINT(-1.4782625242 51.86982121),427500,624489
POINT(-1.3480352103 51.8488601895),535000,637279
POINT(-0.9752371849 51.4691834092),720000,642643
POINT(-1.257479898 51.7425047149),720000,643651
POINT(-1.2391616682 51.7673028979),505000,645303
POINT(-1.2974146436 51.6619705343),362000,654959
POINT(-1.2215995923 51.733470085),529250,655435
POINT(-1.2662899028 51.783407962),1398000,659008
POINT(-1.5850228517 51.7679529922),268000,660141
POINT(-1.3558184095 52.0784357704),367500,660810
POINT(-0.9004324088 51.5302178631),625000,679077
POINT(-0.90967973 51.5420116161),442500,679078
POINT(-1.3380295078 52.0568128597),177000,680607
POINT(-1.2758587981 52.1097545237),438000,681136
POINT(-1.1303112966 51.599098361),600450,681509
POINT(-1.3587160344 51.7141569259),407000,688036
POINT(-1.2702172753 51.7807889233),1650000,695719
POINT(-1.2454866226 51.6015129397),327000,696591
POINT(-1.6262330496 51.9141345534),665000,722538
POINT(-1.1321671064 51.5979341766),367000,723789
POINT(-1.3916549236 51.8212565879),389500,727814
